epoch,accs,val_accs,losses,val_losses
1,0.7970473024,0.8658280872,0.6088641418,0.375369372
2,0.9427839637,0.92382948,0.1646628119,0.2216772658
3,0.9670382589,0.9399021581,0.0946823455,0.2115157643
4,0.9779752892,0.9622641432,0.0628337777,0.1512059312
5,0.9867731215,0.9650593932,0.0394143335,0.1315280075
6,0.9899065961,0.9685534525,0.0310151774,0.1359234382
7,0.9930702003,0.9587700856,0.023327742,0.1549894506
8,0.9940042168,0.9671558292,0.0204770433,0.1254571033
9,0.9950286219,0.9727463264,0.0154749635,0.1349058154
10,0.9962338045,0.9580712713,0.0127136228,0.1765070701
11,0.9972280801,0.9643605814,0.0097280363,0.1339210932
12,0.9973787279,0.96366177,0.0090619007,0.1555184117
13,0.9977704123,0.9706498898,0.0091848842,0.1529746162
14,0.9979210601,0.9727463256,0.0071387613,0.1054453053
15,0.9979210601,0.963661768,0.0073045729,0.1767577241
16,0.9980717079,0.9699510777,0.0061619043,0.1132292277
17,0.9986441696,0.9706498882,0.0054127888,0.1468392098
18,0.998553781,0.9678546419,0.0048412019,0.1554722083
19,0.9989153357,0.973445139,0.0040592872,0.1061114623
20,0.9987345583,0.9699510768,0.0049219929,0.1685659887
21,0.9989454653,0.9769391979,0.0039710076,0.1224891945
22,0.9991262427,0.9699510777,0.0034237711,0.137782534
23,0.9991865018,0.9755415751,0.0035291947,0.1119392007
24,0.9990358539,0.969951076,0.0027280987,0.1635386413
25,0.9991262427,0.9720475126,0.0033666917,0.1263250581
26,0.9990961131,0.9720475138,0.0034635827,0.1219437025
27,0.9993974087,0.970649889,0.0021389937,0.1438218879
28,0.9994877974,0.9713487016,0.0022776863,0.1251778531
29,0.9993672792,0.9643605802,0.0024524783,0.1495093017
30,0.9993371496,0.9748427621,0.0024279968,0.1318026887
31,0.9993672792,0.9790356344,0.002339953,0.1254888704
32,0.9994877974,0.9657582058,0.0020323628,0.1778142985
33,0.9996384452,0.9839273201,0.0019078764,0.1271505087
34,0.9996384452,0.9762403873,0.0015454162,0.1160333488
35,0.9994576678,0.9776380109,0.0024650052,0.125366215
36,0.9996685748,0.9692522655,0.0019310806,0.1721303593
37,0.9996685748,0.9699510768,0.0016456787,0.1536414991
38,0.9994275383,0.9790356352,0.0016308718,0.1120617807
39,0.9994877974,0.9762403857,0.0016836939,0.143071426
40,0.9997589635,0.9727463259,0.0012430489,0.1376760374
41,0.9996685748,0.9713487004,0.0013625031,0.1385897572
42,0.9996384452,0.9734451378,0.0017120893,0.1430900692
43,0.9996384452,0.9671558301,0.0015693131,0.1284264917
44,0.9998794817,0.9755415735,0.0009094612,0.142327744
45,0.9997890931,0.9741439503,0.0011515626,0.135851036
46,0.9997890931,0.9692522646,0.0012854438,0.1746298003
47,0.9998493522,0.970649889,0.0008851323,0.1467242298
48,0.9996987044,0.9762403857,0.001237329,0.1217951056
49,0.9998794817,0.9615653306,0.0009061775,0.1899360299
50,0.9996987044,0.9769391987,0.0012210992,0.1102409908
51,0.9997890931,0.9748427613,0.0008459642,0.1259632317
52,0.9997288339,0.9720475142,0.0011831626,0.1540815225
53,0.9995781861,0.9727463247,0.0016106192,0.117141566
54,0.9998493522,0.9657582037,0.0007028466,0.1962594403
55,0.9996685748,0.9748427617,0.0009795563,0.1131551093
56,0.9996384452,0.9720475134,0.0013394266,0.167343633
57,0.9998192226,0.9699510777,0.0007564583,0.1415634365
58,0.9997589635,0.9741439499,0.0007961721,0.1309957134
59,0.9998794817,0.9734451369,0.0005050284,0.1608135175
60,0.9997589635,0.9727463247,0.0009105625,0.1615372782
61,0.9998493522,0.9769392004,0.0007963272,0.131577996
62,0.9997288339,0.9727463259,0.0009842083,0.1569782905
63,0.9996987044,0.9706498907,0.0008223394,0.1596927272
64,0.9997589635,0.9699510789,0.0009789723,0.1370660511
65,0.9997589635,0.9713487004,0.0006486603,0.143541258
66,0.9998493522,0.9720475142,0.0005311529,0.1310574645
67,0.9996987044,0.9734451369,0.0011850967,0.1471338159
68,0.9998493522,0.9720475145,0.0005614436,0.1516753132
69,0.9996987044,0.9678546403,0.000760437,0.1467621116
70,0.9998794817,0.9741439499,0.0005714,0.1388487525
71,0.9998794817,0.970649889,0.0006040485,0.1480796453
72,0.9998794817,0.9734451378,0.000485295,0.1426090088
73,0.9998493522,0.9734451369,0.0006094232,0.146441261
74,0.9999096113,0.9748427613,0.0005058282,0.1475282551
75,0.9998493522,0.9720475134,0.0005702034,0.1544626863
76,0.9998192226,0.9713487029,0.0010953135,0.1556170127
77,0.9999397409,0.9720475134,0.0006805743,0.1330066877
78,0.9999096113,0.9713487004,0.000455571,0.1621989748
79,0.9998192226,0.9720475142,0.0008281257,0.1636188379
80,0.9998192226,0.9720475126,0.0006792737,0.1561533644
81,0.9998192226,0.970649889,0.0005976318,0.1341178535
82,0.9999698704,0.9769391979,0.0002946405,0.12725718
83,0.9998493522,0.9734451378,0.0004915343,0.1471618129
84,0.9998794817,0.9713487012,0.0005524823,0.1416015349
85,0.9999096113,0.9734451378,0.0005286281,0.1524846135
86,0.9999698704,0.9720475129,0.0004780099,0.1538624931
87,0.9998493522,0.9734451378,0.0006088956,0.1512688346
88,0.9997890931,0.9699510785,0.0006729196,0.1544958025
89,0.9999397409,0.9734451378,0.0002750358,0.1664777526
90,0.9999096113,0.971348702,0.0003908019,0.1296791553
91,0.9998794817,0.9699510768,0.0005695766,0.168737121
92,0.9999096113,0.9783368226,0.0004902765,0.1207915225
93,0.9999698704,0.968553452,0.0007051135,0.1593127458
94,0.9999397409,0.969951076,0.0003505508,0.1552498223
95,0.9999397409,0.9699510764,0.0003966035,0.1502371456
96,1,0.9748427617,0.0002631079,0.1413029802
97,0.9999096113,0.9734451378,0.0004821133,0.1469077356
98,0.9999096113,0.9748427613,0.0003952711,0.140570497
99,0.9999698704,0.9741439495,0.0002990615,0.119520076
100,0.9999096113,0.9769391995,0.0003601851,0.1519945945
101,0.9999698704,0.9713487004,0.0002991539,0.1597403748
102,0.9999397409,0.9748427621,0.0003633396,0.1412642778
103,0.9999397409,0.9727463256,0.0003039174,0.1640007721
104,0.9998493522,0.9671558281,0.0004718602,0.1565252975
105,0.9998794817,0.9762403865,0.0005121022,0.1345785336
106,0.9998192226,0.968553452,0.000772228,0.1603737171
107,0.9998794817,0.9734451378,0.0004732305,0.1398620756
108,0.9998794817,0.9734451378,0.0004322755,0.1516738308
109,0.9999397409,0.9741439495,0.0003627883,0.1418507264
110,0.9999096113,0.9713487016,0.0004474509,0.1534062469
111,0.9999698704,0.9692522655,0.0003710939,0.1313181655
112,0.9998794817,0.9713487012,0.0003452189,0.1630560882
