epoch,accs,val_accs,losses,val_losses
1,0.7515516716,0.837875614,2.3562236088,1.2622306247
2,0.9161795663,0.8853948256,0.8086293573,0.7616399607
3,0.9450436809,0.8721174003,0.528431359,0.6893601862
4,0.9592648324,0.9343116615,0.4042834797,0.4832078695
5,0.971346786,0.9385045368,0.3287355744,0.4363155529
6,0.975384147,0.9454926528,0.2874498561,0.3959537235
7,0.9805965613,0.9594688957,0.2537335343,0.3299148865
8,0.9846339225,0.9468902792,0.2285943276,0.3827558864
9,0.9875263605,0.9552760218,0.2091180081,0.337731423
10,0.9909008717,0.9706498882,0.1900960554,0.2696315172
11,0.9906598351,0.9545772104,0.1801583614,0.3420253343
12,0.9933112368,0.9727463272,0.1672632201,0.2571179471
13,0.9937933098,0.9629629562,0.1587146125,0.2899700493
14,0.9930400707,0.9657582029,0.1531409436,0.2617698998
15,0.9948177151,0.9685534516,0.1455257541,0.2372781394
16,0.994395901,0.9636617708,0.1398832433,0.267101335
17,0.9962036749,0.9664570159,0.1323666073,0.2465901215
18,0.9954203063,0.9601677087,0.1295752147,0.2484013526
19,0.9966556184,0.9678546423,0.1230991757,0.2713638316
20,0.9965953593,0.9601677071,0.1201612534,0.2746327866
21,0.9965953592,0.9559748364,0.1170448296,0.2798024808
22,0.9972883392,0.9664570163,0.1125666655,0.2330943874
23,0.9968062662,0.9664570167,0.1095365424,0.2526151176
24,0.9976197645,0.9615653301,0.1061934034,0.241404066
25,0.9971979506,0.9615653331,0.1050748737,0.2427830625
26,0.997649894,0.9573724595,0.101287774,0.2527912096
27,0.9980717079,0.9622641448,0.0991973384,0.2664262212
28,0.9972280801,0.9601677062,0.0990524313,0.2193200794
29,0.9980114488,0.9636617697,0.0944834825,0.2193874935
30,0.9981922261,0.9615653334,0.0931214595,0.2513090628
31,0.9982826148,0.9678546411,0.0906317071,0.2563647657
32,0.9978608009,0.9713487004,0.0906009936,0.2273605773
33,0.9986742992,0.9671558285,0.0869276223,0.2554132282
34,0.9980717079,0.9657582045,0.0866156934,0.2185297098
35,0.9983730035,0.9706498907,0.0840073618,0.1917513444
36,0.9988550766,0.9475890919,0.0821629212,0.3026767635
37,0.9984935218,0.961565331,0.0810970504,0.2360320415
38,0.9990961131,0.9741439516,0.0788560084,0.2062359464
39,0.9984633922,0.9699510772,0.0789028377,0.1977797795
40,0.9985839105,0.9629629553,0.0777120066,0.2609230958
41,0.9991563722,0.9629629558,0.0751932986,0.2391792532
42,0.9989755948,0.9699510768,0.0745370087,0.2029757479
43,0.9990961131,0.9671558289,0.073234839,0.2131347633
44,0.9990659835,0.9692522658,0.0724085878,0.2356743954
45,0.9988852061,0.9748427621,0.071752075,0.1833320478
46,0.9991262426,0.9685534528,0.0702853813,0.2570019624
47,0.9989755948,0.9601677083,0.0698666801,0.2599843855
48,0.9990961131,0.9622641436,0.06840568,0.2281579246
49,0.9992166313,0.9643605814,0.0675912612,0.2444474357
50,0.998824947,0.9643605793,0.0672907888,0.2261295512
51,0.9988550766,0.9636617688,0.066323674,0.2085253399
52,0.9990057244,0.9608665209,0.0656160739,0.2429870181
53,0.9991262426,0.9706498886,0.0650362494,0.1860489824
54,0.9991865018,0.9636617688,0.063410983,0.2370332685
55,0.9990358539,0.963661768,0.0637267059,0.2107031848
56,0.9992467609,0.9650593932,0.0624125116,0.2318552356
57,0.9992166313,0.9671558272,0.0618012786,0.2218785471
58,0.99930702,0.9650593924,0.0607786552,0.2413603661
59,0.9994275383,0.9748427621,0.0602592988,0.2111593018
