epoch,accs,val_accs,losses,val_losses
1,0.7751679876,0.8445378173,1.0321709671,0.6696591191
2,0.9172016893,0.9257703023,0.462641913,0.3958563332
3,0.949121737,0.8487394948,0.3175391473,0.5267611553
4,0.9590551119,0.9236694604,0.2588856248,0.3510907405
5,0.9689884858,0.9467787031,0.2144237935,0.2816334232
6,0.9749242832,0.8949579809,0.1886626473,0.3745059471
7,0.9779527513,0.9474789834,0.1737665141,0.2648997622
8,0.9841913955,0.9481792652,0.1551400379,0.2531722704
9,0.9863416081,0.9362744996,0.1443909234,0.298050406
10,0.9868564477,0.9488795418,0.1385053081,0.2506374619
11,0.9872501488,0.9257703014,0.1333568332,0.3317386449
12,0.9905511789,0.9481792669,0.1218725205,0.2381781849
13,0.9913688654,0.9579831849,0.1187344943,0.2325353632
14,0.9913688653,0.9488795431,0.1164190274,0.2365342763
15,0.9928225301,0.9488795446,0.109690494,0.2321512606
16,0.9937950224,0.9488795456,0.1053011679,0.2561004711
17,0.9939463634,0.965686268,0.1031314904,0.1864308769
18,0.9947910345,0.9453781424,0.0984949915,0.2483695276
19,0.9946396111,0.9460784222,0.0979431549,0.2686218341
20,0.9952453047,0.9558823441,0.0936702677,0.2109411756
