epoch,accs,val_accs,losses,val_losses
1,0.591442251,0.7379261372,1.5264249686,1.007533395
2,0.8286056253,0.8259943184,0.6913164498,0.6998652585
3,0.8814482324,0.7301136345,0.488070865,0.9540713976
4,0.9032615157,0.8664772724,0.3946539925,0.5139590448
5,0.9206762358,0.8636363635,0.3308223362,0.4881371385
6,0.9292639068,0.8629261352,0.3004600196,0.5241319909
7,0.9373129792,0.8821022683,0.2738143324,0.4592201655
8,0.9448832963,0.8721590887,0.2510340788,0.4604655751
9,0.9502094481,0.8884943177,0.2317761021,0.4500057913
10,0.9546678567,0.8771306798,0.2184426144,0.457323204
11,0.958408132,0.9012784059,0.209486531,0.4125727755
12,0.9628964629,0.8813920426,0.1960552109,0.4418829138
13,0.9659784494,0.8757102256,0.1862868011,0.4609833267
14,0.9681328486,0.8728693168,0.1804317734,0.4622792093
15,0.9701974809,0.8799715911,0.1747643157,0.4578627593
16,0.973698379,0.8927556784,0.1658721796,0.4171065998
17,0.9773189658,0.8913352259,0.1566330061,0.4377847977
18,0.97818671,0.894886355,0.1535902406,0.417063016
19,0.978934765,0.8927556774,0.1487457139,0.4392036689
20,0.9821962857,0.8700284086,0.1425848547,0.4921539775
