epoch,accs,val_accs,losses,val_losses
1,0.8091292543,0.82809224,0.9480592014,0.7568496886
2,0.9470021024,0.9392033465,0.3940452464,0.3768240452
3,0.9665863154,0.9531795856,0.2767124513,0.3156922955
4,0.978818917,0.9671558293,0.2105995936,0.2596512217
5,0.9857487163,0.9657582037,0.1745850771,0.2563411896
6,0.9880084336,0.9622641436,0.1559136431,0.2430416898
7,0.9916541108,0.9643605818,0.1394547757,0.2428351478
8,0.9944260306,0.9720475126,0.1246849616,0.2095301744
9,0.9943657715,0.9559748339,0.1176014569,0.2560958376
10,0.9958119906,0.9412997822,0.1092038458,0.3042851364
11,0.9960831567,0.9741439516,0.1030181764,0.1958705503
12,0.9965351001,0.9622641436,0.0977191076,0.2352514584
13,0.9972280801,0.9678546403,0.0910894378,0.1852392936
14,0.9980114488,0.9545772129,0.0866593466,0.2431544842
15,0.9978909305,0.9720475134,0.0826437419,0.1848676761
16,0.9982223557,0.970649889,0.0790921851,0.1877354067
17,0.9981922261,0.9685534541,0.0753400288,0.184130957
18,0.9986742992,0.9678546411,0.0726942506,0.1884257466
19,0.9986742992,0.9692522655,0.0703744531,0.2000993387
20,0.99861404,0.9769391995,0.0675697652,0.1767652823
